Name	Country	Stations
AACES	Australia	49	
AMMA-CATCH	Benin,Niger,Mali	7	
ARM	USA	35	
AWDN	USA	50	
BIEBRZA_S-1	Poland	30	
BNZ-LTER	Alaska	12	
CALABRIA	Italy	5	
CAMPANIA	Italy	2	
CARBOAFRICA Unknown NaN
CHINA	China	40	 
COSMOS	USA	109	
CTP_SMTMN	China	57	
DAHRA	Senegal	1	
FLUXNET-AMERIFLUX	USA	8	
FMI	Finland	27	
FR_Aqui	France	5	 
GROW	UK	150	
GTK	Finland	7	 
HiWATER_EHWSN	China	174	
HOAL	Austria	33	
HOBE	Denmark	32	
HSC_SEOLMACHEON	Korea	1	
HYDROL-NET_PERUGIA	Italy	2	
ICN	USA	19	
IIT_KANPUR	India	1	
IMA_CAN1	Italy	12	
IOWA	USA	6	 
IPE	Spain	2	 
iRON	USA	9	
KHOREZM	Uzbekistan	7	 
KIHS_CMC	Korea	18	
KIHS_SMC	Korea	19	
LAB-net	Chile	4	
MAQU	China	27	
METEROBS	Italy	1	
MOL-RAO	Germany	2	
MONGOLIA	Mongolia	44	 
MySMNet	Malaysia	7	 
NAQU	China	11	
NGARI	China	23	
NVE	Norway	3	
ORACLE	France	6	
OZNET	Australia	38	
PBO_H2O	USA	159	
PTSMN	NewZealand	20	 
REMEDHUS	Spain	24	
RISMA	Canada	24	
RSMN	Romania	20	
Ru_CFR	Russia	2	 
RUSWET-AGRO	FormerSovietUnion	212	 
RUSWET-GRASS	FormerSovietUnion	122	 
RUSWET-VALDAI	FormerSovietUnion	3	 
SASMAS	Australia	14	
SCAN	USA	239	
SD_DEM	Sudan	1	
SKKU	Korea	15	 
SMOSMANIA	France	23	
SNOTEL	USA	441	
SOILSCAPE	USA	171	
SWEX_POLAND	Poland	6	 
SW-WHU	China	7	
TAHMO	CotedIvoire,Nigeria,Ghana,Uganda,Rwanda,Kenya	7
TERENO	Germany	5	
UDC_SMOS	Germany	11	
UMBRIA	Italy	13	
UMSUOL	Italy	1	
USCRN	USA	115	
USDA-ARS	USA	4	
VAS	Spain	3	
VDS	Myanmar	4	
WEGENERNET	Austria	12	
WSMN	UK	8	
